num_steps,num_episodes,rew_mean,rew_std
10000,121,0.5916666666666667,0.9789095407078678
20000,122,1.0578512396694215,1.268157514665507
30000,115,1.0175438596491229,1.3177762777693982
40000,115,1.2105263157894737,1.347341008493072
50000,117,1.2672413793103448,1.3918343058135465
60000,121,1.425,1.5365681457933023
70000,119,1.8135593220338984,1.7895608425512557
80000,116,1.9304347826086956,1.8164549283195157
90000,111,2.463636363636364,2.2388197894396895
100000,112,2.891891891891892,2.0810225802003273
110000,105,3.4903846153846154,2.449470870285805
120000,109,3.259259259259259,2.7058591104078626
130000,99,4.346938775510204,2.766793033482829
140000,98,4.484536082474227,2.743740400023055
150000,94,5.236559139784946,3.156825169332045
160000,90,5.595505617977528,2.91342919738419
170000,87,6.534883720930233,2.9676459797114925
180000,87,6.511627906976744,2.568793880614337
190000,84,7.096385542168675,2.7489952505418804
200000,81,8.2625,3.153346436724008
210000,76,9.333333333333334,3.4538223591969652
220000,83,8.268292682926829,3.8668345297142417
230000,75,9.432432432432432,4.080544084949753
240000,74,9.67123287671233,4.037681399362106
250000,67,11.0,4.369314487526514
260000,69,11.014705882352942,4.10699778376465
270000,62,12.639344262295081,4.409500870922218
280000,63,12.629032258064516,4.254916969614595
290000,56,14.327272727272728,4.018387489594417
300000,56,14.690909090909091,3.6174965088767586
310000,61,13.366666666666667,5.043037003852165
320000,57,14.071428571428571,5.381373771953532
330000,57,14.410714285714286,5.466706979899475
340000,54,14.18867924528302,5.824660015257785
350000,51,15.28,5.359253679384845
360000,60,12.94915254237288,5.260739552358373
370000,55,14.685185185185185,5.13817979759108
380000,53,14.211538461538462,5.357728201326561
390000,54,14.69811320754717,5.0900750843717955
400000,54,14.679245283018869,6.080508869300954
410000,55,14.703703703703704,5.543196128553987
420000,58,13.859649122807017,5.817211596123883
430000,57,13.589285714285714,6.143454082291533
440000,52,16.568627450980394,6.241087455396945
450000,56,15.0,6.1526047698958735
460000,53,15.538461538461538,5.956449440801827
470000,53,15.692307692307692,7.882645157214437
480000,51,16.34,6.4175073042420445
490000,52,16.098039215686274,7.4102602477671855
500000,54,15.566037735849056,6.803188580842114
510000,55,14.833333333333334,5.921555101053676
520000,50,16.26530612244898,6.930487246775483
530000,49,17.541666666666668,6.645670060690311
540000,52,15.764705882352942,6.929867823468909
550000,48,18.106382978723403,6.130613945004938
560000,45,18.795454545454547,6.279763839850789
570000,42,20.951219512195124,5.643693737313789
580000,47,18.391304347826086,5.612401876239431
590000,45,18.727272727272727,5.536505446758223
600000,51,16.78,7.247868652231496
610000,49,17.104166666666668,6.322049981787729
620000,51,17.12,5.680281683156214
630000,47,17.608695652173914,6.738849924035758
640000,51,17.78,5.463661775769068
650000,47,19.08695652173913,5.368288881929583
660000,43,20.785714285714285,6.11218811371304
670000,46,19.666666666666668,7.105553383719589
680000,45,20.113636363636363,5.792690963191574
690000,46,20.022222222222222,5.968394121961261
700000,45,20.636363636363637,6.33565275782761
710000,48,18.893617021276597,6.281462231695811
720000,44,20.0,6.566298734429271
730000,44,20.488372093023255,6.15071216532009
740000,41,23.025,4.724867723016169
750000,49,19.395833333333332,5.069268452044031
760000,37,23.083333333333332,5.875443245690774
770000,42,21.0,5.472770734481313
780000,41,21.825,6.069956754376427
790000,37,22.86111111111111,6.227862027381367
800000,43,20.714285714285715,7.413904935629929
810000,45,20.15909090909091,7.273686016351188
820000,37,23.72222222222222,7.305291503466326
830000,43,21.80952380952381,7.03812101290467
840000,44,21.790697674418606,6.753321799470531
