num_steps,num_episodes,rew_mean,rew_std,entropy
2080000,26,41.96,17.084449069255935,1.6310565808140776
2090000,23,47.27272727272727,15.24402064054153,1.603386986663659
2100000,22,49.666666666666664,18.158910533014687,1.5963965065212076
2110000,22,48.857142857142854,18.408811850347558,1.579402535445899
2120000,27,39.46153846153846,18.341274951973904,1.6586959969716721
2130000,27,40.76923076923077,21.34029718686384,1.6511105252277416
2140000,26,41.4,22.32129028528593,1.6611941351092514
2150000,26,39.4,19.264475077198444,1.6972697202096256
2160000,25,40.041666666666664,18.127969105470388,1.697765542646603
2170000,23,44.63636363636363,18.77509340140296,1.6462139568707068
2180000,25,41.458333333333336,18.08770108542143,1.6851554967192846
2190000,29,36.535714285714285,18.785408742762375,1.7013168465364543
2200000,26,40.92,20.74592972127304,1.6667549339511682
2210000,28,37.18518518518518,19.650722420114054,1.6887530335990406
2220000,25,41.458333333333336,14.882817740229466,1.703127818411031
2230000,29,35.25,20.355106414432157,1.6951607998079765
2240000,28,37.111111111111114,20.035770480953115,1.692465574794492
2250000,27,39.38461538461539,15.672310033149163,1.7047475914102055
2260000,23,46.13636363636363,19.217169062503963,1.6555342444721046
2270000,27,38.26923076923077,19.262473865220013,1.775983719034951
2280000,26,37.76,17.88916990807567,1.749944732228537
2290000,27,36.57692307692308,20.66616163409138,1.7573596134072949
2300000,25,41.833333333333336,17.78029496068299,1.7567732150579864
2310000,22,47.857142857142854,13.912261513074114,1.758191542586885
2320000,27,39.03846153846154,18.8220017925642,1.7662694549154025
2330000,28,37.51851851851852,19.68148287542336,1.7657134047450003
2340000,27,35.61538461538461,18.586754843740255,1.7407256214463065
2350000,30,36.06896551724138,22.372907005915945,1.7047880459993565
2360000,30,33.58620689655172,19.825996937805762,1.7415833326573011
2370000,27,38.57692307692308,21.25155754820931,1.7124437286646863
2380000,22,48.714285714285715,16.481281899816665,1.6940660518454236
2390000,27,39.15384615384615,21.034207135580015,1.7495790912820173
