num_steps,num_episodes,rew_mean,rew_std,entropy
10000,126,1.768,2.3052496610996385,2.705358802377049
20000,113,1.8928571428571428,2.2691925202321532,2.698534145728342
30000,119,1.923728813559322,2.107922021444772,2.686597016633813
40000,113,2.2232142857142856,2.694935135147609,2.6793130659725297
50000,114,2.52212389380531,2.489259566254622,2.663631034474742
60000,110,2.018348623853211,2.2907138079692633,2.6415699254527203
70000,104,2.3689320388349513,2.640205535034335,2.628723638468983
80000,110,2.4403669724770642,2.375066170630302,2.6125927512233402
90000,110,2.5596330275229358,2.7207365188089683,2.6099438296091217
100000,109,2.8333333333333335,2.9922740021100513,2.5844719741733044
110000,103,2.843137254901961,2.710708966083993,2.5790729117065925
120000,100,3.515151515151515,3.5086146115232824,2.563917024956772
130000,108,2.710280373831776,2.59766014696833,2.5691065430764937
140000,108,3.05607476635514,2.5203166085819664,2.549351028790929
150000,102,3.0792079207920793,3.148732790265271,2.536132266256289
160000,102,3.0693069306930694,2.8293281074235477,2.5163498861641127
170000,102,2.9306930693069306,3.1505379887671308,2.4984174829902783
180000,105,3.0384615384615383,3.012547723602441,2.5084279918429764
190000,103,2.7450980392156863,2.2214916138460463,2.4665263654833254
200000,93,3.760869565217391,2.8221544545958968,2.477826987731251
210000,97,3.6145833333333335,3.5630329767005464,2.4750584217702345
220000,95,3.5531914893617023,3.2374701880713856,2.495179836248354
230000,101,3.49,3.2878412370429326,2.444164850161346
240000,102,3.1584158415841586,2.8099282019907736,2.4603411480989665
250000,101,2.95,2.7290108097990378,2.4008414534905915
260000,103,2.9411764705882355,2.72541966335593,2.418255386376212
270000,101,3.2,2.9529646120466806,2.422741948941831
280000,110,2.7155963302752295,2.977258584854102,2.429570591660147
290000,104,3.4174757281553396,3.095641382621577,2.404772089758304
300000,97,3.65625,3.309796459628094,2.4191843033115954
310000,104,3.262135922330097,3.6148592072612233,2.422787744185769
320000,106,3.6095238095238096,3.5442649532670263,2.398351081507475
330000,100,3.6464646464646466,3.9165877008496945,2.352422393608618
