num_steps,num_episodes,rew_mean,rew_std,entropy
30000,368,1.4713896457765667,1.8048146260910538,2.704719721118675
60000,360,1.84958217270195,2.173451766909152,2.695226452641604
90000,350,1.9369627507163323,2.4615165151764504,2.6861035783107106
120000,362,2.085872576177285,2.513309695133563,2.6703117069291755
150000,332,2.4229607250755287,2.3505386015742675,2.6525955894961535
180000,324,2.513931888544892,2.6173316751088334,2.6405959399031596
210000,315,2.6974522292993632,2.4326978823050474,2.6075557555739346
240000,321,2.7875,2.5724198238234757,2.5857425135226717
270000,315,3.015923566878981,3.352402115379741,2.5529372543059647
300000,309,3.2175324675324677,2.99047477264547,2.520127754252186
330000,308,3.188925081433225,3.0697867517512676,2.489944849517429
360000,296,3.7254237288135594,3.455655802281779,2.470786121536884
390000,302,3.2857142857142856,2.994695516072037,2.4672924731019226
420000,308,3.449511400651466,3.214364860292271,2.4237917880604734
450000,288,4.2125435540069684,3.5249409233221782,2.418667852279117
480000,288,4.024390243902439,3.5538805743733572,2.3855806449565886
510000,302,3.7740863787375414,3.1762395878536953,2.3784379149936363
540000,293,4.136986301369863,3.718944718832233,2.370551087890806
570000,287,4.353146853146853,3.745081701440187,2.3468537189325565
600000,266,5.150943396226415,4.304434862715667,2.3474032439925723
630000,274,4.934065934065934,4.7303916412810665,2.3286824458441227
660000,259,5.476744186046512,4.565781246613065,2.3355831098938333
690000,261,5.515384615384615,4.520440100059379,2.327059544048276
720000,274,4.835164835164835,4.331324873058999,2.309201610549197
750000,251,6.04,5.463918008169595,2.28920787487576
780000,241,6.270833333333333,5.566041319665371,2.296377449267824
810000,251,6.484,5.8008399391812215,2.2833524023808285
840000,246,6.555102040816327,5.625926181327919,2.259371206935463
870000,250,6.5582329317269075,5.221751549714677,2.2701492087359685
900000,239,6.96218487394958,6.492613664859148,2.2645461443150925
930000,236,6.965957446808511,6.381398385925404,2.2433948726919106
960000,247,6.865853658536586,5.809500618986007,2.2411779463238637
990000,249,6.762096774193548,5.565940385750778,2.2248056876435593
1020000,240,7.2510460251046025,7.011925656785854,2.189828100083547
1050000,225,7.714285714285714,6.643913126513099,2.1917986434612855
1080000,223,8.36936936936937,7.588431128348757,2.155538721153235
1110000,215,8.336448598130842,6.803577845493818,2.1300041209954026
1140000,230,8.213973799126638,7.057009053794653,2.1279108143903764
1170000,229,8.276315789473685,6.87213803437001,2.101317211664601
1200000,217,9.12037037037037,7.844811440021517,2.100795882088936
1230000,232,8.363636363636363,6.567483373341008,2.1072671578936015
1260000,214,9.272300469483568,7.794366140625626,2.1167189245226994
1290000,223,8.711711711711711,6.663585847674081,2.0916033047737375
1320000,222,8.669683257918551,6.29043908495861,2.0772444953556493
1350000,216,9.190697674418605,7.616744526874261,2.068484926584467
1380000,206,10.180487804878048,8.146321016477918,2.056406805637673
1410000,198,10.116751269035532,8.247539156384917,2.0512875102097694
1440000,203,10.054455445544555,8.534264365943727,2.0591868603713768
1470000,214,9.380281690140846,8.14775443101156,2.011371384532477
1500000,199,9.984848484848484,9.276600993205657,2.0201155361998495
1530000,203,10.292079207920793,9.195287031827037,1.998651129003301
1560000,194,11.202072538860104,9.601683566479386,1.9949206309344365
1590000,198,10.944162436548224,9.353298445531276,2.0114192255982872
1620000,189,11.547872340425531,10.308684922664328,2.0166829344162713
1650000,183,11.659340659340659,10.10572656741611,2.0076277966759783
1680000,183,11.840659340659341,9.586614730072984,2.0004395039539995
1710000,198,11.00507614213198,8.655562139957715,2.0013111716993826
1740000,200,11.28643216080402,9.699161588082216,2.002515200297794
1770000,181,12.45,10.517326973459875,1.9798154538072026
1800000,173,13.36046511627907,10.896887533750254,1.9952719521227675
1830000,188,11.97860962566845,10.965164685016502,2.0003796151661257
1860000,191,11.373684210526315,9.348365582184499,2.0182181632227665
1890000,194,11.062176165803109,9.07517649552471,2.0111016114763687
