num_steps,num_episodes,rew_mean,rew_std
20000,286,0.3333333333333333,0.7798635358208025
40000,303,0.3675496688741722,0.7507214780457717
60000,317,0.7120253164556962,1.091964760115344
80000,322,1.2024922118380061,1.6039651084902022
100000,330,1.8571428571428572,2.003253974709802
120000,288,2.7177700348432055,2.4665987336755215
140000,273,3.761029411764706,2.7369119780521873
160000,240,5.129707112970712,2.7542125054352375
180000,244,5.148148148148148,2.9078202113171145
200000,227,6.017699115044247,2.9940421692484818
220000,211,6.876190476190477,2.538072902608772
240000,196,7.697435897435898,2.5106426983366976
260000,198,8.060913705583756,2.366505954815588
280000,202,7.900497512437811,2.915057793858657
300000,193,8.598958333333334,2.3453408952496764
320000,175,9.35632183908046,1.8996491599509542
340000,170,9.810650887573965,2.2792358685297804
360000,176,9.794285714285714,2.1442205186624492
380000,165,10.274390243902438,2.685385514205515
400000,156,10.980645161290322,2.3894147420599383
420000,166,10.636363636363637,2.0481800024202097
440000,175,9.994252873563218,2.8537072609952934
460000,175,9.741379310344827,2.956934251292796
480000,173,10.418604651162791,2.498674608104799
500000,182,9.895027624309392,2.541376410532367
520000,177,10.232954545454545,2.6793071352882656
540000,183,10.186813186813186,2.497964392852303
560000,180,10.614525139664805,2.7628847310514955
580000,161,11.55625,2.4283401609947486
600000,142,12.76595744680851,2.139259160797138
620000,149,12.628378378378379,2.334466793120252
640000,151,12.486666666666666,2.475847778483609
660000,142,13.22695035460993,2.285845419363102
680000,136,13.474074074074075,2.3970031586673346
700000,144,13.391608391608392,2.4807932552540923
720000,135,13.888059701492537,1.7520156739620987
740000,139,14.065217391304348,2.1542224184385743
760000,138,14.16058394160584,2.011766760444227
780000,136,14.162962962962963,1.660911875412876
800000,142,14.177304964539006,2.0010057327398196
820000,148,13.70748299319728,2.3681873557114486
840000,140,14.179856115107913,1.6804067619989982
860000,141,14.028571428571428,2.1710525990300424
880000,137,14.169117647058824,2.8350618497735676
900000,143,13.964788732394366,1.9151434022392806
920000,142,14.127659574468085,1.486826616541605
940000,136,14.525925925925925,1.4898651673004688
960000,136,14.4,1.339983416149452
980000,134,14.518796992481203,1.563692871019809
1000000,134,14.601503759398497,1.5891542632929814
1020000,131,14.7,2.081604410803581
1040000,138,14.496350364963504,1.2029409678512506
1060000,135,14.664179104477611,1.403322442765506
1080000,133,15.106060606060606,1.911914698544034
1100000,133,14.962121212121213,1.5245729806035557
1120000,126,15.08,2.225668438918969
1140000,129,15.1484375,1.845983155013542
1160000,126,15.152,1.7756396030726505
1180000,132,14.51908396946565,2.0908785729184722
1200000,138,14.664233576642335,1.3948674021316663
1220000,134,14.992481203007518,1.849593495682425
1240000,132,14.687022900763358,1.6161587172909582
1260000,133,14.93939393939394,1.6911425927621178
